"Air_Station","Latitude","Longitude"
"USS0022F05S","43.66","-122.21"
"USR0000OREB","45.0275","-121.9211"
"USR0000ORED","43.5361","-117.8347"
"USS0021D04S","45.46","-121.7"
"USW00024230","44.2558","-121.1407"
"USC00357127","45.3033","-122.9133"
"USR0000ORID","43.1006","-118.4981"
"USW00004128","43.4711","-119.6917"
"USS0022F43S","43.9","-122.03"
"USR0000OROB","45.6817","-117.2064"
"USR0000OROC","42.5475","-119.6564"
"USS0018F01S","44.01","-118.84"
"USR0000ORCK","44.925","-123.4694"
"USR0000OROU","43.7639","-121.7167"
"USR0000ORYE","45.2172","-123.5356"
"USR0000OSAG","43.5097","-119.2925"
"USW00024232","44.90488","-123.00103"
"USS0022F04S","43.61","-122.12"
"USR0000OSAL","44.0444","-120.6661"
"USS0021E05S","44.44","-121.95"
"USS0017D08S","45.0","-117.17"
"USS0023D02S","45.53","-123.3"
"USR0000OSEL","42.4075","-122.1914"
"USS0022G33S","42.7","-122.14"
"USR0000OSIG","43.0019","-123.7803"
"USR0000OSIL","42.8589","-123.3783"
"USC00357823","45.0058","-122.7739"
"USS0018G01S","42.75","-118.69"
"USR0000OSLI","44.4625","-120.2944"
"USR0000OSFK","45.5906","-123.4761"
"USR0000OSPA","44.9083","-117.375"
"USR0000OSQU","42.0667","-123.0167"
"USR0000OSTR","42.1894","-120.8464"
"USS0020G09S","42.13","-120.84"
"USR0000OSUG","43.6728","-122.6564"
"USS0020G02S","42.7","-120.8"
"USS0022F14S","43.45","-122.14"
"USR0000OSUM","42.2322","-120.2456"
"USS0021G17S","42.79","-121.98"
"USS0021G16S","42.41","-121.68"
"USS0021G03S","42.69","-121.43"
"USS0017D07S","45.08","-117.55"
"USS0021E13S","44.14","-121.64"
"USR0000OTIL","45.4569","-123.8031"
"USR0000OTIM","43.2433","-121.3583"
"USS0018E09S","44.66","-118.43"
"USS0022F45S","43.23","-122.43"
"USC00358536","43.27528","-122.45031"
"USR0000OTOK","43.2397","-122.4"
"USR0000OTUP","45.0708","-119.49"
"USR0000OUMA","45.9167","-119.5667"
"USC00358884","45.8652","-123.1902"
"USR0000OVIL","44.2525","-123.4639"
"USR0000OWAG","43.34","-119.8814"
"USC00358997","45.5731","-117.5312"
"USR0000OWAM","45.2406","-121.453"
"USR0000OWAS","45.61","-121.33"
"USR0000OWIL","44.3325","-123.7164"
"USC00359461","43.28265","-123.35371"
"USS0018D21S","45.07","-118.15"
"USR0000OYLP","44.5264","-118.3231"
"USR0000OYEL","44.5922","-122.4278"
"USC00350145","44.4044","-123.7533"
"USR0000OREM","42.1233","-124.3006"
"USS0023D01S","45.54","-123.37"
"USS0019F01S","43.95","-119.54"
"USS0019E07S","44.26","-119.02"
